Account_Number,Customer_ID,Account_Type,Current_Balance,Status
ACC_5266,CUST_1280,,168100.14,Blocked
ACC_5267,CUST_1239,Savings,233651.81,Active
ACC_5268,CUST_1383,Savings,137856.72,Blocked
ACC_5269,CUST_1282,Savings,210028.09,Inactive
ACC_5270,CUST_1386,SAVINGS,53433.77,Blocked
ACC_5271,CUST_1325,Savings,215437.81,Blocked
ACC_5272,CUST_1436,Savings,176833.34,
ACC_5273,CUST_1318,Savings,91141.16,Inactive
ACC_5274,CUST_1265,Current,,Active
ACC_5275,CUST_9999,Savings,167207.11,
ACC_5276,CUST_1168,Savings,175253.64,Blocked
ACC_5277,CUST_1115,,18188.67,Blocked
ACC_5278,CUST_1300,SAVINGS,221935.07,Inactive
ACC_5279,CUST_1136,CURR,6738.67,Inactive
ACC_5280,CUST_1187,Savings,-829.35,Inactive
ACC_5281,CUST_1062,Current,33778.84,Blocked
ACC_5282,CUST_1246,Current,90335.26,Inactive
ACC_5283,CUST_1476,,-192.23,Active
ACC_5284,CUST_1501,CURR,159098.63,
ACC_5285,CUST_1243,Current,119447.89,Blocked
ACC_5286,CUST_1311,Current,200375.3,Inactive
ACC_5287,CUST_1043,SAVINGS,65953.25,
ACC_5288,CUST_1247,,183117.98,Inactive
ACC_5289,CUST_1331,SAVINGS,-1938.68,Active
ACC_5290,CUST_1383,SAVINGS,206059.77,Blocked
ACC_5291,CUST_1141,,131107.18,Inactive
ACC_5292,CUST_1205,CURR,,Inactive
ACC_5293,CUST_1195,CURR,247416.32,Active
ACC_5294,CUST_1074,SAVINGS,144859.98,Blocked
ACC_5295,CUST_1397,Savings,53496.6,Inactive
ACC_5296,CUST_1358,Current,79290.61,
ACC_5297,CUST_1005,CURR,159458.27,
ACC_5298,CUST_1238,Savings,162514.04,Active
ACC_5299,CUST_1433,CURR,138506.61,Blocked
ACC_5300,CUST_9999,Current,6176.97,Blocked
ACC_5301,CUST_1101,SAVINGS,140310.76,Active
ACC_5302,CUST_1416,Current,110198.0,Blocked
ACC_5303,CUST_1143,Savings,241774.43,Inactive
ACC_5304,CUST_1191,SAVINGS,9623.07,
ACC_5305,CUST_1180,SAVINGS,49153.01,Inactive
ACC_5306,CUST_1490,CURR,192380.58,Inactive
ACC_5307,CUST_1360,Savings,215148.02,
ACC_5308,CUST_1290,Current,51811.63,Active
ACC_5309,CUST_1054,Savings,80625.8,Blocked
ACC_5310,CUST_1157,Savings,,Active
ACC_5311,CUST_1085,Current,44329.57,Inactive
ACC_5312,CUST_1496,CURR,-3878.67,Inactive
ACC_5313,CUST_1256,Current,45456.47,
ACC_5314,CUST_1445,CURR,43026.99,Inactive
ACC_5315,CUST_1158,,205671.49,Inactive
ACC_5316,CUST_1470,SAVINGS,154137.03,Active
ACC_5317,CUST_1339,,234638.22,Blocked
ACC_5318,CUST_1061,Savings,82303.76,
ACC_5319,CUST_1490,Savings,214348.24,Blocked
ACC_5320,CUST_1488,Savings,249976.88,Inactive
ACC_5321,CUST_1188,CURR,108126.92,
ACC_5322,CUST_1450,Savings,249038.46,Active
ACC_5323,CUST_1421,,4510.07,Blocked
ACC_5324,CUST_1027,Savings,5448.41,Blocked
ACC_5325,CUST_9999,Current,194357.82,Inactive
ACC_5326,CUST_1244,Current,220485.59,Inactive
ACC_5327,CUST_1440,SAVINGS,218319.78,Active
ACC_5328,CUST_1047,,,Inactive
ACC_5329,CUST_1244,Current,53898.6,Active
ACC_5330,CUST_1295,CURR,224530.98,Blocked
ACC_5331,CUST_1452,,18399.14,Inactive
ACC_5332,CUST_1098,Savings,10228.3,Blocked
ACC_5333,CUST_1217,Savings,79802.76,
ACC_5334,CUST_1295,SAVINGS,124984.18,Active
ACC_5335,CUST_1178,Current,30733.8,Active
ACC_5336,CUST_1168,CURR,53654.98,
ACC_5337,CUST_1104,,149470.72,Active
ACC_5338,CUST_1439,SAVINGS,201927.25,
ACC_5339,CUST_1076,,119179.59,Blocked
ACC_5340,CUST_1231,SAVINGS,206406.09,Blocked
ACC_5341,CUST_1143,Current,190818.67,Active
ACC_5342,CUST_1430,Savings,25829.96,Blocked
ACC_5343,CUST_1233,Savings,120900.99,Active
ACC_5344,CUST_1232,Savings,220978.43,Inactive
ACC_5345,CUST_1130,SAVINGS,135312.44,
ACC_5346,CUST_1166,CURR,,Blocked
ACC_5347,CUST_1124,Current,-4554.16,Blocked
ACC_5348,CUST_1161,SAVINGS,182634.51,Inactive
ACC_5349,CUST_1169,Savings,-1754.82,Inactive
ACC_5350,CUST_9999,,221844.47,
ACC_5351,CUST_1307,CURR,185022.3,Inactive
ACC_5352,CUST_1088,Current,127844.91,
ACC_5353,CUST_1107,CURR,39013.92,Inactive
ACC_5354,CUST_1041,SAVINGS,116528.23,Inactive
ACC_5355,CUST_1300,Current,194021.8,
ACC_5356,CUST_1030,,217103.65,Inactive
ACC_5357,CUST_1009,CURR,213701.39,Blocked
ACC_5358,CUST_1280,,160645.16,Blocked
ACC_5359,CUST_1083,SAVINGS,54117.83,
ACC_5360,CUST_1067,CURR,129088.22,
ACC_5361,CUST_1161,Current,140125.55,
ACC_5362,CUST_1265,CURR,138329.87,Blocked
ACC_5363,CUST_1387,CURR,177594.59,Blocked
ACC_5364,CUST_1101,SAVINGS,,
ACC_5365,CUST_1222,Savings,18308.59,Active
ACC_5366,CUST_1429,Savings,95904.16,
ACC_5367,CUST_1020,Savings,152228.04,Inactive
ACC_5368,CUST_1446,Savings,192662.68,Blocked
ACC_5369,CUST_1232,Savings,71202.76,Active
ACC_5370,CUST_1423,,209003.92,Blocked
ACC_5371,CUST_1080,CURR,227356.7,
ACC_5372,CUST_1220,Savings,135364.95,
ACC_5373,CUST_1287,,33972.42,
ACC_5374,CUST_1119,,118309.89,Active
ACC_5375,CUST_9999,CURR,200038.86,
ACC_5376,CUST_1263,Savings,109794.02,
ACC_5377,CUST_1264,,76357.03,Blocked
ACC_5378,CUST_1263,Current,16193.42,
ACC_5379,CUST_1230,Savings,202789.22,Blocked
ACC_5380,CUST_1203,Current,157909.32,Inactive
ACC_5381,CUST_1040,Savings,221138.26,
ACC_5382,CUST_1221,CURR,,Inactive
ACC_5383,CUST_1034,Savings,77509.48,
ACC_5384,CUST_1261,Savings,143573.14,
ACC_5385,CUST_1143,CURR,52368.8,Blocked
ACC_5386,CUST_1491,SAVINGS,116850.05,Active
ACC_5387,CUST_1379,SAVINGS,30126.57,Blocked
ACC_5388,CUST_1440,Current,207648.53,Blocked
ACC_5389,CUST_1343,Current,-732.09,Inactive
ACC_5390,CUST_1135,SAVINGS,44276.16,Blocked
ACC_5391,CUST_1443,CURR,141550.75,Active
ACC_5392,CUST_1254,Current,228295.07,
ACC_5393,CUST_1065,,132966.44,Inactive
ACC_5394,CUST_1307,SAVINGS,183000.29,
ACC_5395,CUST_1346,SAVINGS,152706.46,Active
ACC_5396,CUST_1174,Current,227141.99,Inactive
ACC_5397,CUST_1489,SAVINGS,77560.2,Inactive
ACC_5398,CUST_1480,,167007.39,Inactive
ACC_5399,CUST_1239,CURR,242439.98,
ACC_5400,CUST_9999,SAVINGS,,Blocked
ACC_5401,CUST_1242,Current,66235.83,Active
ACC_5402,CUST_1259,,82586.47,Blocked
ACC_5403,CUST_1180,CURR,248232.02,Active
ACC_5404,CUST_1058,Savings,85416.19,Blocked
ACC_5405,CUST_1398,CURR,22635.94,Inactive
ACC_5406,CUST_1128,SAVINGS,115482.98,Active
ACC_5407,CUST_1145,Current,160736.31,Inactive
ACC_5408,CUST_1029,CURR,144617.78,Inactive
ACC_5409,CUST_1169,Current,216934.46,Inactive
ACC_5410,CUST_1217,,200953.8,Blocked
ACC_5411,CUST_1222,Savings,9153.09,Inactive
ACC_5412,CUST_1178,CURR,22140.68,
ACC_5413,CUST_1185,CURR,30525.19,
ACC_5414,CUST_1227,CURR,175402.98,
ACC_5415,CUST_1399,Savings,222843.77,
ACC_5416,CUST_1458,SAVINGS,50597.98,Blocked
ACC_5417,CUST_1088,Current,65077.29,Blocked
ACC_5418,CUST_1110,,,Inactive
ACC_5419,CUST_1248,Current,154935.49,
ACC_5420,CUST_1390,SAVINGS,234446.27,Inactive
ACC_5421,CUST_1403,Current,157316.5,Inactive
ACC_5422,CUST_1303,,62187.67,Blocked
ACC_5423,CUST_1073,Savings,197593.02,Inactive
ACC_5424,CUST_1228,Savings,26740.1,Blocked
ACC_5425,CUST_9999,SAVINGS,19374.02,Inactive
ACC_5426,CUST_1197,SAVINGS,198417.07,Inactive
ACC_5427,CUST_1438,,189472.47,
ACC_5428,CUST_1459,SAVINGS,123720.04,Blocked
ACC_5429,CUST_1204,,172771.57,Blocked
ACC_5430,CUST_1380,Savings,237228.78,Blocked
ACC_5431,CUST_1275,Savings,171364.44,Inactive
ACC_5432,CUST_1198,,47772.0,
ACC_5433,CUST_1419,,228209.53,Active
ACC_5434,CUST_1448,,89823.8,
ACC_5435,CUST_1141,Savings,169580.27,Active
ACC_5436,CUST_1456,,,Blocked
ACC_5437,CUST_1274,CURR,212645.15,Active
ACC_5438,CUST_1084,Savings,39071.9,Blocked
ACC_5439,CUST_1391,Savings,120404.36,Active
ACC_5440,CUST_1206,CURR,96777.75,Inactive
ACC_5441,CUST_1300,Current,120871.05,Blocked
ACC_5442,CUST_1260,Savings,231186.12,Inactive
ACC_5443,CUST_1273,SAVINGS,37062.71,Active
ACC_5444,CUST_1260,Current,144646.55,
ACC_5445,CUST_1325,Current,83250.61,Blocked
ACC_5446,CUST_1271,SAVINGS,89518.89,Inactive
ACC_5447,CUST_1369,,112856.85,Inactive
ACC_5448,CUST_1041,Current,179216.15,Active
ACC_5449,CUST_1074,,233723.7,Active
ACC_5450,CUST_9999,Savings,114311.08,Active
ACC_5451,CUST_1017,Savings,168342.99,Inactive
ACC_5452,CUST_1462,,55590.77,Inactive
ACC_5453,CUST_1470,CURR,87399.97,
ACC_5454,CUST_1334,,,Blocked
ACC_5455,CUST_1458,Current,-572.81,
ACC_5456,CUST_1081,,45830.34,Blocked
ACC_5457,CUST_1085,,145929.14,Inactive
ACC_5458,CUST_1167,CURR,220020.89,Blocked
ACC_5459,CUST_1337,Current,186802.37,
ACC_5460,CUST_1217,Savings,39152.08,Inactive
ACC_5461,CUST_1346,SAVINGS,221626.9,
ACC_5462,CUST_1369,Current,110294.78,Active
ACC_5463,CUST_1307,CURR,235633.33,Blocked
ACC_5464,CUST_1414,Savings,188431.91,Blocked
ACC_5465,CUST_1123,Savings,36145.09,Blocked
ACC_5466,CUST_1464,SAVINGS,45100.49,
ACC_5467,CUST_1053,SAVINGS,170710.47,
ACC_5468,CUST_1403,Current,15114.83,Inactive
ACC_5469,CUST_1057,CURR,231528.33,Inactive
ACC_5470,CUST_1356,SAVINGS,200544.56,
ACC_5471,CUST_1281,Savings,87350.23,Inactive
ACC_5472,CUST_1137,SAVINGS,,
ACC_5473,CUST_1336,Current,177015.57,
ACC_5474,CUST_1274,Savings,58809.3,Blocked
ACC_5475,CUST_9999,CURR,61586.61,
ACC_5476,CUST_1214,,28326.39,Active
ACC_5477,CUST_1005,SAVINGS,180436.86,Active
ACC_5478,CUST_1170,,53033.72,Active
ACC_5479,CUST_1130,Current,23739.57,Inactive
ACC_5480,CUST_1244,CURR,46815.13,Active
ACC_5481,CUST_1055,SAVINGS,81920.48,Blocked
ACC_5482,CUST_1291,,212807.82,Blocked
ACC_5483,CUST_1313,SAVINGS,-2204.0,Inactive
ACC_5484,CUST_1426,,10809.5,Active
ACC_5485,CUST_1297,,60414.15,Active
ACC_5486,CUST_1449,CURR,229881.86,
ACC_5487,CUST_1436,,107583.48,Inactive
ACC_5488,CUST_1220,Savings,197058.34,Blocked
ACC_5489,CUST_1092,CURR,35446.18,Inactive
ACC_5490,CUST_1386,Savings,,Inactive
ACC_5491,CUST_1494,,222758.33,Inactive
ACC_5492,CUST_1401,Savings,142896.16,
ACC_5493,CUST_1153,,243461.48,
ACC_5494,CUST_1181,SAVINGS,195416.64,Active
ACC_5495,CUST_1192,CURR,247754.59,Inactive
ACC_5496,CUST_1348,Savings,90137.81,
ACC_5497,CUST_1028,Savings,206529.6,
ACC_5498,CUST_1177,CURR,78973.46,Inactive
ACC_5499,CUST_1496,,36857.81,Inactive
ACC_5500,CUST_9999,Current,114162.87,
ACC_5501,CUST_1294,Current,229972.32,Active
ACC_5502,CUST_1132,Current,177287.02,Active
ACC_5503,CUST_1132,Savings,67891.8,Active
ACC_5504,CUST_1023,CURR,1614.87,Inactive
ACC_5505,CUST_1007,CURR,77042.02,
ACC_5506,CUST_1369,SAVINGS,76824.13,
ACC_5507,CUST_1145,Current,138523.75,Inactive
ACC_5508,CUST_1072,Savings,,Inactive
ACC_5509,CUST_1201,,83454.68,Blocked
ACC_5510,CUST_1218,SAVINGS,227650.93,Active
ACC_5511,CUST_1121,Savings,54867.51,Blocked
ACC_5512,CUST_1034,CURR,67216.0,Active
ACC_5513,CUST_1305,Current,6917.57,Active
ACC_5514,CUST_1284,Current,198278.2,Inactive
ACC_5515,CUST_1465,SAVINGS,56615.22,Active
ACC_5516,CUST_1456,SAVINGS,197770.77,Blocked
ACC_5517,CUST_1346,SAVINGS,50370.45,Blocked
ACC_5518,CUST_1211,Savings,27174.75,Inactive
ACC_5519,CUST_1316,CURR,188961.48,Blocked
ACC_5520,CUST_1288,CURR,220666.99,Blocked
ACC_5521,CUST_1010,,-4254.64,
ACC_5522,CUST_1327,,130645.08,Blocked
ACC_5523,CUST_1293,SAVINGS,238244.34,Active
ACC_5524,CUST_1076,CURR,115891.59,
ACC_5525,CUST_9999,,226270.46,Blocked
ACC_5526,CUST_1183,Savings,,Blocked
ACC_5527,CUST_1016,CURR,64210.71,
ACC_5528,CUST_1034,,174525.29,Inactive
ACC_5529,CUST_1034,Current,30332.28,Active
ACC_5530,CUST_1431,Current,81676.56,
ACC_5531,CUST_1245,Savings,32350.49,Inactive
ACC_5532,CUST_1320,,123865.15,Active
ACC_5533,CUST_1180,Savings,243486.38,Active
